ID;Name;Energie, Kalorien (kcal);Fett, total (g);Kohlenhydrate, verfügbar (g);Protein (g);Bezugseinheit;Kategorie;Dichte;gesättigte Fettsäuren;Zucker;NutriScore-Wert
0;Agavendicksaft;293;0;73,1;0,2;pro 100g essbarer Anteil;Süssigkeiten/Zucker und Süssstoffe;;;;
1;Ahornsirup;358;0,3;88,7;0;pro 100 ml;Süssigkeiten/Zucker und Süssstoffe;1,32;;;
2;Alge, Nori, getrocknet;255;1,6;10,5;31,5;pro 100g essbarer Anteil;Gemüse/Gemüse getrocknet;;;;
3;Ananas, roh;52;0,1;11,7;0,5;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
4;Ananassaft;51;0,1;12,1;0,4;pro 100g essbarer Anteil;Früchte/Fruchtsäfte;1,05;;;
5;Apfel, roh;52;0,3;11,6;0,3;pro 100g essbarer Anteil;Früchte/Früchte frisch;;0,1;11,5;-4
6;Apfelmus, gezuckert (Konserve);89;0,3;20,5;0,3;pro 100g essbarer Anteil;Früchte/Früchte gekocht (inkl. Konserven);;;;
7;Apfelmus, ungezuckert (Konserve);55;0,3;11,7;0,3;pro 100g essbarer Anteil;Früchte/Früchte gekocht (inkl. Konserven);;;;
8;Apfelsaft;50;0,1;11,9;0,2;pro 100 ml;Früchte/Fruchtsäfte/Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1,04;;;
9;Aprikose, roh;44;0,1;9;0,8;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
10;Aubergine, roh;21;0,1;2,4;1,1;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;;;
11;Auberginenscheiben, paniert, zubereitet;136;5,8;14,6;4,7;pro 100g essbarer Anteil;Gerichte/Sonstige salzige/rezente Gerichte;;;;
12;Aufschnitt (Durchschnitt);276;24,2;0,7;13,9;pro 100g essbarer Anteil;Fleisch- und Wurstwaren/Brühwurstware;;9,1;0,7;12
13;Avocado, roh;158;15,1;1,2;1,6;pro 100g essbarer Anteil;Gemüse/Gemüse frisch/Nüsse, Samen und Ölfrüchte;;2,8;1,1;-2
14;Bäckerhefe, gepresst;96;1,2;1,1;16,7;pro 100g essbarer Anteil;Verschiedenes/Hefe/Verschiedenes/Backzutaten;;;;
15;Balsamicoessig;128;0,6;25,8;0,7;pro 100g essbarer Anteil;Verschiedenes/Salz, Gewürze und Aromen;;0;15;4
16;Banane, roh;89;0,1;19,7;1,1;pro 100g essbarer Anteil;Früchte/Früchte frisch;;0,1;15,6;-3
17;Basilikum, roh;46;0,8;5,1;3,1;pro 100g essbarer Anteil;Gemüse/Kräuter;;;;
18;Bauernbrot;241;2;44,3;9,2;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;;;
19;Beeren (Durchschnitt), roh;40;0,5;6,3;0,7;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
20;Birne, roh;54;0,3;10,9;0,5;pro 100g essbarer Anteil;Früchte/Früchte frisch;;0,1;9;-7
21;Birnensaft;52;0,3;12,1;0,5;pro 100 ml;Früchte/Fruchtsäfte/Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1,04;;;
